"Table 1. 8: Distribution (%) of households, by size (number of members), according to area of residence, province,consumption quintile and sex of head of household",,,,,,,,
EICV7,Mean number of persons,Household size - category,,,,,Total,Total number of households (000s)
,,1 person,2-4 persons,5-7 persons,8-10 persons,11+ persons,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
 All Rwanda,4.1,10.1,50.1,33.8,5.5,0.4,100,"3,290"
 Area of residence,,,,,,,,
  Urban,4.0,14.1,48.4,31.0,6.0,0.5,100,964
  Rural,4.2,8.5,50.9,34.9,5.3,0.4,100,"2,326"
 Province,,,,,,,,
  City of Kigali,3.8,17.7,48.6,27.6,5.5,0.5,100,493
  Southern,4.1,10.6,50.0,34.5,4.6,0.3,100,748
  Western,4.4,7.4,48.9,34.9,8.2,0.6,100,663
  Northern,4.1,8.1,51.6,35.6,4.5,0.2,100,507
  Eastern,4.2,8.7,51.2,34.7,5.0,0.5,100,880
 Sex,,,,,,,,
  Male,4.5,7.5,45.8,39.3,6.9,0.5,100,"2,429"
  Female,3.2,17.4,62.5,18.2,1.8,0.2,100,861
 Quintile,,,,,,,,
  Q1,4.9,2.5,40.7,47.1,9.0,0.8,100,548
  Q2,4.5,4.4,48.6,40.7,6.0,0.3,100,606
  Q3,4.1,7.1,54.9,32.8,4.9,0.3,100,663
  Q4,3.8,12.0,56.2,27.4,4.0,0.3,100,719
  Q5,3.6,21.1,48.2,25.6,4.7,0.5,100,754
"Source:NISR, EICV7.",,,,,,,,
