"Table 4. 6: Literacy rate among the population aged 15 and above by sex according to province, consumption quintile and age group",,,,,,,
EICV7,Literacy rate(%) among  population aged 15 and above,,,,Population aged 15 years and over (000s),Population aged 15 years and over (000s),Population aged 15 years and over (000s)
,Male,Female,Total,Gender parity index,Male,Female,Total
Rwanda,78.4,73.6,75.8,0.94,"3,967","4,557","8,524"
Area of residence,,,,,,,
  Urban,88.4,85.6,86.9,0.97,"1,188","1,332","2,520"
  Rural,74.1,68.6,71.1,0.93,"2,779","3,225","6,004"
Province,,,,,,,
  City of Kigali,91.5,89.8,90.6,0.98,601,648,"1,250"
  Southern,73.5,70.9,72.1,0.96,886,"1,022","1,908"
  Western,76.7,69.7,72.9,0.91,803,969,"1,772"
  Northern,78.4,73.0,75.4,0.93,609,724,"1,333"
  Eastern,76.3,70.5,73.2,0.92,"1,068","1,193","2,260"
Quintile,,,,,,,
  Q1,64.5,60.8,62.5,0.94,751,844,"1,595"
  Q2,71.8,67.9,69.7,0.94,744,883,"1,627"
  Q3,77.4,73.1,75.1,0.94,784,912,"1,696"
  Q4,82.7,75.7,79.0,0.92,801,923,"1,725"
  Q5,92.5,87.9,90.0,0.95,886,995,"1,881"
Age group,,,,,,,
  15-19,83.5,90.9,87.3,1.09,785,815,"1,600"
  20-24,85.8,90.4,88.3,1.05,581,660,"1,241"
  25-29,85.6,88.2,87.0,1.03,422,489,911
  30-34,82.6,80.8,81.6,0.98,412,481,894
  35-39,77.8,73.2,75.4,0.94,412,438,850
  40-44,72.1,68.9,70.5,0.96,382,422,804
  45-49,78.9,69.6,73.9,0.88,240,280,520
  50-54,74.4,63.5,68.4,0.85,188,237,426
  55-59,70.0,51.4,59.5,0.73,138,178,317
  60-64,61.8,38.1,48.3,0.62,138,181,319
  65+,54.2,20.5,34.6,0.38,269,375,644
Disability status,,,,,,,
  Without disability,79.1,74.4,76.6,0.94,"3,867","4,453","8,320"
  With disability,50.5,37.5,43.9,0.74,100,104,204
"Source: NISR, EICV7.",,,,,,,
