"Table 5.1: Distribution (%) of households by type of dwelling according to area of residence, province, consumption quintile and sex of head of household",,,,,,,
EICV7,Type of dwelling,,,,,Total,Total households (000s)
,Single house dwelling,Multiple HH buildings,Multi-storied building with one or more HH,Group of enclosed dwellings: multiple HH,Group of enclosed dwellings: single HH,,
,,,,,,,
,,,,,,,
,,,,,,,
Rwanda,85.2,8.9,0.3,4.4,1.2,100.0,"3,290"
Area of residence,,,,,,,
  Urban,65.6,20.2,0.8,12.6,0.8,100.0,964
  Rural,93.4,4.2,0.1,1.1,1.3,100.0,"2,326"
Province,,,,,,,
  City of Kigali,57.8,25.3,1.4,15.2,0.4,100.0,493
  Southern,88.8,6.1,0.1,2.4,2.6,100.0,748
  Western,91.6,6.0,0.1,1.9,0.4,100.0,663
  Northern,93.9,3.8,0.1,1.3,1.0,100.0,507
  Eastern,87.7,7.3,0.1,3.8,1.1,100.0,880
Quintile,,,,,,,
  Q1,92.3,5.3,0.1,1.4,0.9,100.0,547
  Q2,91.5,5.5,0.1,1.9,0.9,100.0,606
  Q3,89.6,6.8,,2.1,1.4,100.0,664
  Q4,84.7,9.2,0.0,4.6,1.5,100.0,718
  Q5,71.7,15.7,1.0,10.6,1.0,100.0,756
Sex of household head,,,,,,,
  Male,85.7,8.5,0.3,4.3,1.3,100.0,"2,429"
  Female,84.0,10.1,0.3,4.8,0.8,100.0,861
"Source:NISR, EICV7.",,,,,,,
