"Table A9.23: Headcount Poverty rate(%) by area of residence, province and district",,,,,,
EICV7,Total Poverty rate (%),Std. error (%),95%CI lower bound,95%CI upper bound,CV (%),Design effect
Poverty Rate,27.36,0.5,26.39,28.34,1.81,1.87
Area of residence,,,,,,
Urban,16.69,0.91,14.92,18.47,5.42,2.52
Rural,31.58,0.59,30.42,32.75,1.87,1.75
Province,,,,,,
City of Kigali,9.05,1.06,6.97,11.14,11.75,2.84
Southern,34.67,1.01,32.68,36.66,2.92,1.53
Western,37.41,1.17,35.12,39.7,3.12,1.88
Northern,20.15,1.08,18.04,22.26,5.35,1.68
Eastern,26.78,1.04,24.73,28.82,3.9,2.25
District,,,,,,
Nyarugenge,6.8,1.2,4.44,9.16,17.69,0.99
Gasabo,11.06,1.85,7.44,14.68,16.7,3.74
Kicukiro,6.93,1.34,4.3,9.55,19.31,1.53
Nyanza,43.27,2.82,37.73,48.81,6.53,1.32
Gisagara,45.59,2.69,40.32,50.86,5.89,1.29
Nyaruguru,39.7,2.54,34.72,44.67,6.39,1.03
Huye,24.19,2.7,18.89,29.49,11.17,1.65
Nyamagabe,51.39,3.21,45.09,57.7,6.25,1.67
Ruhango,14.99,2.44,10.21,19.78,16.26,1.84
Muhanga,14.95,2.19,10.66,19.24,14.63,1.45
Kamonyi,39.65,3.33,33.11,46.18,8.41,2.49
Karongi,38.19,3.36,31.6,44.78,8.79,1.97
Rutsiro,40.78,2.99,34.91,46.64,7.34,1.51
Rubavu,38.81,3.1,32.73,44.88,7.98,2.45
Nyabihu,20.41,2.23,16.03,24.78,10.92,1.09
Ngororero,30.24,2.69,24.96,35.53,8.91,1.35
Rusizi,44.16,3.43,37.43,50.9,7.78,2.66
Nyamasheke,42.67,2.57,37.63,47.72,6.03,1.33
Rulindo,21.64,2.09,17.54,25.73,9.65,1.06
Gakenke,24.47,2.89,18.8,30.15,11.83,1.88
Musanze,20.98,2.7,15.68,26.28,12.88,2.46
Burera,21.79,1.85,18.17,25.41,8.47,0.85
Gicumbi,13.31,2.1,9.19,17.43,15.77,1.99
Rwamagana,23.86,2.59,18.78,28.94,10.85,2.11
Nyagatare,36.37,2.79,30.89,41.84,7.67,2.51
Gatsibo,18.41,2.63,13.24,23.57,14.3,2.78
Kayonza,36.55,3.23,30.22,42.89,8.84,2.57
Kirehe,14.24,2.13,10.06,18.41,14.95,1.76
Ngoma,30.94,2.63,25.77,36.1,8.51,1.48
Bugesera,23.7,2.63,18.55,28.85,11.08,2.43
